Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
23,Overwatch,2016,Shooter,Blizzard Entertainment,1.63,0.84,0,0.25,2.72,1/1/2016
24,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.62,0.84,0,0.25,2.71,1/1/2015
25,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.54,0.82,0,0.24,2.59,1/1/2016
26,Assassin's Creed Origins,2017,Action,Ubisoft,1.34,0.92,0,0.22,2.47,1/1/2017
27,Madden NFL 16,2015,Sports,EA Sports,2.13,0.08,0,0.26,2.47,1/1/2015
28,Madden NFL 17,2016,Sports,EA Sports,2.14,0.04,0,0.26,2.44,1/1/2016
29,NBA 2K16,2015,Sports,2K Sports,2.01,0.15,0,0.25,2.41,1/1/2015
30,Forza Motorsport 5,2013,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,1/1/2013
31,Destiny 2,2017,Shooter,Activision,1.66,0.47,0,0.23,2.35,1/1/2017
32,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.51,0.59,0,0.22,2.32,1/1/2013
33,FIFA 15,2014,Sports,EA Sports,0.64,1.39,0,0.16,2.19,1/1/2014
34,PlayerUnknown's Battlegrounds,2017,Shooter,Microsoft Studios,1.29,0.69,0,0.2,2.17,1/1/2017
35,Battlefield 4,2013,Shooter,Electronic Arts,1.26,0.65,0,0.19,2.09,1/1/2013
36,NBA 2K17,2016,Sports,2K Sports,1.7,0.12,0,0.21,2.04,1/1/2016
37,Forza Motorsport 6,2015,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,1/1/2015
38,NBA 2K18,2017,Sports,2K Sports,1.67,0.14,0,0.21,2.02,1/1/2017
39,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.15,0.59,0,0.17,1.92,1/1/2017
40,Madden NFL 18,2017,Sports,EA Sports,1.63,0.07,0,0.2,1.91,1/1/2017
41,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.13,0.53,0,0.17,1.83,1/1/2016
42,Far Cry 5,2018,Action,Ubisoft,1.14,0.47,0,0.17,1.78,1/1/2018
43,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0,0.18,1.74,1/1/2015
44,NBA 2K15,2014,Sports,2K Sports,1.39,0.18,0,0.18,1.74,1/1/2014
45,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,1/1/2015
46,Far Cry 4,2014,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,1/1/2014
47,Watch Dogs,2014,Action-Adventure,Ubisoft,0.91,0.59,0,0.15,1.64,1/1/2014
48,Dead Rising 3,2013,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,1/1/2013
49,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,0.98,0.48,0,0.15,1.61,1/1/2017
50,Madden NFL 15,2014,Sports,EA Sports,1.34,0.1,0,0.17,1.6,1/1/2014
51,Rise of the Tomb Raider,2015,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,1/1/2015
52,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0,0.14,1.58,1/1/2015
